,PDB ID,Drug IDs
220,1T0J,DB00270; DB00308; DB00343; DB00381; DB00393; DB00401; DB00568; DB00622; DB00661; DB01023; DB01054; DB01115; DB01373; DB01388; DB04855; DB06712; DB09227; DB09229; DB12278
222,1MOT,DB00228; DB00753; DB00898; DB01028; DB01189; DB01236
223,1LRC,DB00235; DB00261; DB00277; DB01166; DB01223; DB01303; DB01427; DB04880
224,1DPK,DB00054; DB00775
225,3RZE,DB00283; DB00341; DB00342; DB00354; DB00366; DB00405; DB00427; DB00434; DB00455; DB00477; DB00557; DB00568; DB00637; DB00719; DB00737; DB00748; DB00751; DB00767; DB00768; DB00777; DB00792; DB00835; DB00902; DB00912; DB00920; DB00950; DB00967; DB00972; DB00985; DB01069; DB01071; DB01075; DB01084; DB01106; DB01114; DB01142; DB01146; DB01173; DB01176; DB01237; DB01239; DB01246; DB01615; DB01619; DB01620; DB04837; DB04890; DB05381; DB06282; DB06691; DB06698; DB08799; DB08800; DB08801; DB08802; DB08936; DB09016; DB09167; DB09195; DB09488; DB09555; DB11235; DB11591; DB11614
228,1PKG,DB00398; DB00619; DB01254; DB01268; DB06589; DB08896; DB09078; DB09103; DB11800; DB14840
230,3ISQ,DB00348
233,1BDF,DB00615; DB11753
235,1DDA,DB01213
236,1SFZ,DB00951
238,1A2N,DB00828
248,1F0J,DB00277; DB00651; DB00824; DB01113; DB03849; DB05266
249,3FWL,DB00274; DB00303; DB00430; DB00438; DB00689; DB01327; DB01328; DB01329; DB01331; DB01332; DB01413; DB01414; DB01415; DB01598; DB06211; DB11367
250,1XUM,DB00024
253,1D8Y,DB00548
259,1MFG,DB00072; DB01259; DB05773; DB06366; DB08916; DB11652; DB14967
262,1CQP,DB00095; DB00098; DB11611
265,2JBM,DB00627
266,2A83,DB00040; DB15226
267,1AO6,DB13967
270,1ZNC,DB00273; DB00311; DB00703; DB00819; DB00869; DB01144
271,1BBR,DB00009; DB00015; DB00029; DB00031; DB11300; DB11311; DB11571; DB11572; DB13151
273,1U8F,DB09092
274,1K0P,DB00242; DB00631; DB01073; DB01280
275,1KF6,DB00730
276,2K44,DB00356; DB00436; DB00999
279,1A28,DB00294; DB00304; DB00351; DB00367; DB00378; DB00396; DB00603; DB00717; DB00823; DB00834; DB00957; DB01395; DB01406; DB01431; DB04787; DB06713; DB06730; DB08867; DB09123; DB09124; DB09389; DB13857; DB14583
280,1EBL,DB01034
281,1LUB,DB00332; DB00383; DB00387; DB00411; DB00424; DB00462; DB00483; DB00505; DB00508; DB00517; DB00572; DB00725; DB00728; DB00747; DB00767; DB00785; DB00809; DB00986; DB01036; DB01062; DB01085; DB01148; DB01231; DB04834; DB06709; DB08801; DB08897; DB09089; DB09167; DB09262; DB11181; DB12278; DB13581
282,1J3I,DB00205
283,1G0Y,DB00026
285,3ORH,DB00148; DB13191
286,1Z8L,DB00089; DB14805; DB17851
287,2CVA,DB00292; DB00368; DB00484; DB00575; DB00668; DB00935; DB01363; DB01392; DB01577; DB04855; DB06262; DB06694; DB11124
288,1DQ8,DB00175; DB00227; DB00439; DB00641; DB01076; DB01095; DB01098; DB06693; DB08860
292,3PBL,DB00268; DB00413; DB00589; DB00714; DB00988; DB01100; DB01184; DB01186; DB01200; DB01235; DB01239; DB01267; DB05271; DB06288; DB09014; DB09223; DB11274; DB13025
296,3V4P,DB00108; DB09033
297,3PTY,DB00330
298,1RY0,DB01536
300,1HDO,DB00140
304,1TV5,DB01117
305,2XSN,DB00360; DB00765
307,1F5V,DB00698
308,1IHI,DB01586
310,2XDG,DB00010; DB08869
311,4NKQ,DB00020; DB10772
312,1A00,DB00893; DB06154; DB09112; DB09147; DB09517; DB13995
314,1LRB,DB00975; DB08814
315,2A0D,DB00295; DB00318; DB00327; DB00454; DB00497; DB00611; DB00647; DB00652; DB00704; DB00844; DB00921; DB01183; DB01209; DB01439; DB01497; DB01571; DB06230; DB06738; DB09209; DB09272; DB11130; DB11691; DB11938
317,1UWH,DB00398; DB08881; DB08896; DB08912; DB11718; DB14840
321,1CK7,DB00786
324,1ALG,DB00262
326,1ILM,DB00004; DB00041; DB00111
327,1CN4,DB00012; DB00016; DB08894; DB09107
328,1BCI,DB01103
329,1ILM,DB00004; DB00041; DB00074; DB00111
