Ligand_ID,Mean_Affinity,Time
DB11907,-8.79,21.2499299
DB17578,-8.79,18.79924512
DB15057,-8.79,25.87998581
DB18104,-8.78,21.12742877
DB01705,-8.78,15.48299289
DB11922,-8.78,21.80519962
DB13676,-8.78,19.93758965
DB16087,-8.78,22.67608905
DB15266,-8.78,22.14099598
DB07817,-8.78,20.58291197
DB17770,-8.78,25.03935266
DB02691,-8.78,22.52792692
DB07545,-8.77,16.81598544
DB12985,-8.77,21.85675931
DB12260,-8.77,18.39906263
DB12693,-8.77,21.42968345
DB11886,-8.77,19.45753241
DB07000,-8.77,19.53895116
DB04983,-8.77,32.35942793
DB03501,-8.77,24.94860911
DB03397,-8.77,28.04863024
DB07430,-8.77,15.51070094
DB16056,-8.77,20.24322486
DB02449,-8.77,23.7171185
DB02705,-8.76,20.07151532
DB11890,-8.76,21.87394214
DB12414,-8.76,19.82421541
DB12368,-8.76,17.51161075
DB14943,-8.76,19.84016299
DB00210,-8.76,18.34406567
DB18442,-8.76,20.39232683
DB16891,-8.76,16.5862112
DB01677,-8.76,13.77455735
DB12279,-8.76,16.12412238
DB12649,-8.76,21.23603582
DB06497,-8.76,27.04764175
DB12836,-8.74,22.03607225
DB03461,-8.74,30.25680447
DB04432,-8.74,21.44445181
DB04882,-8.74,26.46043277
DB13044,-8.74,19.32445526
DB14726,-8.74,22.65510607
DB16300,-8.74,23.91580653
DB13101,-8.74,20.1940856
DB16826,-8.74,16.37470818
DB00637,-8.74,26.78949642
DB16821,-8.73,20.40177417
DB15281,-8.73,22.03664255
DB14882,-8.73,18.174155
DB08750,-8.73,18.43572211
DB07256,-8.73,17.04926944
DB07265,-8.73,18.61017513
DB11943,-8.73,23.84662175
DB06677,-8.73,23.10037875
DB15163,-8.73,23.79358816
DB17582,-8.73,24.13217926
DB01395,-8.73,17.71388721
DB01259,-8.73,32.85859776
DB00438,-8.73,34.52946138
DB15036,-8.73,24.96954036
DB01678,-8.72,24.55966783
DB15292,-8.72,18.42116857
DB08044,-8.72,20.08003283
DB07618,-8.72,19.18759823
DB12322,-8.72,23.71212411
DB00966,-8.72,34.29531431
DB13667,-8.72,21.57073927
DB05465,-8.71,19.35740471
DB05575,-8.71,16.65922999
DB11256,-8.71,20.55979967
DB11950,-8.71,19.15968513
DB11703,-8.71,19.69782448
DB05220,-8.71,21.41917038
DB11596,-8.71,22.58509541
DB07321,-8.71,18.47162271
DB06852,-8.71,19.66521096
DB11819,-8.71,17.37196875
DB08351,-8.71,16.29689646
DB14982,-8.71,19.01519775
DB13756,-8.71,18.09553266
DB16292,-8.71,11.45698857
DB18063,-8.71,20.53694534
DB03744,-8.71,19.38793063
DB04789,-8.71,21.26163125
DB17057,-8.7,22.65204263
DB18489,-8.7,19.72014284
DB06364,-8.7,35.60635543
DB07072,-8.7,19.01740265
DB12966,-8.7,17.08882189
DB07255,-8.7,19.03945112
DB16035,-8.7,19.83720136
DB01948,-8.7,19.56286097
DB12432,-8.69,18.14313483
DB03081,-8.69,23.32632947
DB02827,-8.69,19.55292416
DB03161,-8.69,25.11878324
DB06747,-8.69,17.57878304
DB07019,-8.69,20.19834471
DB06955,-8.69,20.75842166
DB12306,-8.69,16.07421398
DB13113,-8.69,17.00831604
DB14932,-8.69,22.06085467
DB18072,-8.69,18.2458818
DB15247,-8.69,18.53373575
DB14916,-8.69,20.38007379
DB11863,-8.69,25.06314397
DB11794,-8.69,18.80027437
DB02551,-8.68,16.78472757
DB02473,-8.68,18.55177093
DB04690,-8.68,15.77551532
DB08657,-8.68,19.59113312
DB06645,-8.68,28.03483486
DB12973,-8.68,18.62978959
DB13053,-8.68,19.74244189
DB04698,-8.68,17.68923712
DB13929,-8.67,25.6114912
DB08504,-8.67,19.49456668
DB04226,-8.67,27.248734
DB08143,-8.67,23.40147471
DB06856,-8.67,18.79793334
DB17521,-8.67,20.42312622
DB17992,-8.67,24.39871526
DB17136,-8.67,18.21694565
DB08416,-8.67,17.65046978
DB00319,-8.67,30.52421737
DB00948,-8.67,27.96737695
DB07226,-8.66,15.94334722
DB03932,-8.66,22.093431
DB04750,-8.66,16.62212682
DB18715,-8.66,21.20797729
DB15407,-8.66,20.25011802
DB05713,-8.66,20.00931334
DB13673,-8.66,23.65453315
DB06684,-8.64,19.86700964
DB06367,-8.64,27.40971851
DB12121,-8.64,18.64668989
DB07362,-8.64,21.74523902
DB06558,-8.64,30.84974146
DB07804,-8.64,22.24501586
DB07145,-8.64,20.48447609
DB02341,-8.64,22.91857529
DB12141,-8.64,21.40063119
DB12720,-8.64,19.90029716
DB12002,-8.64,22.88654399
DB16828,-8.64,19.26302838
DB04960,-8.64,21.18875551
DB01347,-8.64,36.08465219
DB14856,-8.64,21.39970064
DB15418,-8.64,18.05823803
DB02196,-8.64,27.14915013
DB04264,-8.64,20.54638767
DB14218,-8.63,27.58542299
DB02581,-8.63,27.23022747
DB15358,-8.63,18.67626953
DB06844,-8.63,18.90711141
DB11485,-8.63,21.4480226
DB12295,-8.63,22.41382027
DB15145,-8.63,20.37554049
DB04791,-8.63,17.14116549
DB01830,-8.63,24.50231719
DB00267,-8.62,32.97807884
DB02358,-8.62,19.09210944
DB00421,-8.62,17.38331747
DB02319,-8.62,35.26073289
DB11520,-8.62,22.92980337
DB12515,-8.62,16.53250718
DB11632,-8.62,20.26498246
DB08495,-8.62,23.83528686
DB11651,-8.62,17.50314045
DB12198,-8.62,23.22818828
DB16059,-8.62,24.15890551
DB16058,-8.62,19.61405039
DB08011,-8.62,17.40135813
DB06543,-8.62,25.09830618
DB18028,-8.61,21.07887936
DB04315,-8.61,22.61140227
DB08445,-8.61,18.07794189
DB04790,-8.61,17.54664183
DB07875,-8.61,25.45461631
DB12999,-8.61,19.97750401
DB03126,-8.61,24.35128355
DB14555,-8.61,13.85406446
DB14974,-8.61,20.9469974
DB13778,-8.61,33.32493591
DB14636,-8.61,21.65930438
DB18019,-8.61,25.48838973
DB17152,-8.61,17.0262084
DB18250,-8.61,25.81446195
DB12776,-8.6,16.56954837
DB08896,-8.6,26.71614504
DB03916,-8.6,18.71315193
DB03311,-8.6,28.68850875
DB02491,-8.6,22.17648029
DB01026,-8.6,31.95538592
DB15294,-8.6,16.24547148
DB00246,-8.6,25.20755219
DB17142,-8.6,24.55128765
DB15830,-8.6,13.59372592
