Ligand_ID,Mean_Affinity,Time
DB16035,-8.56,22.18335462
DB09199,-8.54,14.49905682
DB12817,-8.54,18.65064836
DB12892,-8.54,22.33798099
DB11863,-8.54,22.66833949
DB08703,-8.54,10.90495968
DB02226,-8.54,34.48866606
DB16703,-8.53,19.12314463
DB07993,-8.53,9.672375441
DB06494,-8.53,26.39637637
DB01640,-8.52,13.38109565
DB12655,-8.52,15.4591136
DB12799,-8.52,19.78483438
DB12690,-8.52,12.27333331
DB17105,-8.52,15.41678667
DB15343,-8.51,17.42934203
DB16874,-8.51,17.52130628
DB12724,-8.51,21.39749265
DB15193,-8.51,18.28933692
DB08358,-8.51,10.83303833
DB01199,-8.51,17.32032251
DB08674,-8.51,8.381251574
DB06666,-8.51,15.43791962
DB04698,-8.51,12.07684088
DB14866,-8.51,21.73841262
DB01012,-8.5,21.17030025
DB15644,-8.5,7.797039032
DB17760,-8.5,18.55274391
DB15437,-8.5,22.24168277
DB02545,-8.5,11.97491765
DB02668,-8.49,30.79467964
DB06630,-8.49,22.08534956
DB15585,-8.49,17.27629542
DB18152,-8.49,17.64047742
DB06455,-8.47,26.71974993
DB04609,-8.47,30.17108727
DB14850,-8.47,20.91888285
DB15039,-8.47,18.67306805
DB12897,-8.47,14.21921301
DB12794,-8.47,9.506565332
DB07570,-8.47,24.03910899
DB08058,-8.47,18.87084198
DB15137,-8.46,20.46548915
DB12228,-8.46,21.83820224
DB04244,-8.46,22.58929014
DB04038,-8.46,8.879509687
DB07212,-8.44,16.97730589
DB07453,-8.44,9.161871672
DB12128,-8.44,16.39963174
DB18025,-8.44,22.44921041
DB04107,-8.44,19.91381049
DB15382,-8.43,18.6925056
DB17198,-8.43,30.19333434
DB16256,-8.43,30.4262774
DB16053,-8.43,22.26135111
DB07076,-8.43,17.68947172
DB05616,-8.42,18.73321748
DB14675,-8.42,17.41678023
DB04852,-8.42,33.2203207
DB16824,-8.42,11.30197191
DB15775,-8.42,14.33876061
DB02259,-8.42,23.10968399
DB09280,-8.41,18.42404532
DB15305,-8.41,13.24091864
DB18052,-8.41,20.15908003
DB16844,-8.41,15.80386448
DB06448,-8.41,17.4913168
DB08351,-8.41,19.25864744
DB06871,-8.41,8.883661032
