Ligand_ID,Mean_Affinity,Time
DB15292,-8.81,23.09938955
DB04477,-8.8,27.69162536
DB11822,-8.8,34.26712847
DB16824,-8.8,18.50826979
DB04172,-8.8,29.61322045
DB11952,-8.79,25.98380184
DB17247,-8.79,17.90965414
DB14935,-8.79,29.12941098
DB01761,-8.79,26.76655459
DB18025,-8.79,23.65736699
DB17015,-8.79,22.95268559
DB16823,-8.79,19.51615763
DB11414,-8.79,29.09004664
DB07189,-8.79,35.17532039
DB02269,-8.78,26.42322636
DB12228,-8.78,26.33046246
DB11867,-8.78,28.8973887
DB08418,-8.78,25.61877084
DB04852,-8.78,28.36742067
DB07261,-8.78,39.93194079
DB12368,-8.78,20.25778008
DB07837,-8.77,21.5706563
DB16233,-8.77,28.52074599
DB02704,-8.77,62.30652499
DB04685,-8.77,24.87001896
DB14995,-8.77,28.82135987
DB15110,-8.77,35.25123644
DB16703,-8.77,22.51913857
DB16292,-8.77,13.03317499
DB16843,-8.76,24.84530807
DB11399,-8.76,40.74849629
DB01251,-8.76,33.53057003
DB09319,-8.76,39.93029571
DB07247,-8.74,34.48616338
DB06494,-8.74,40.26743937
DB04790,-8.74,20.59731674
DB15367,-8.74,37.54529476
DB18400,-8.74,24.38412356
DB17757,-8.74,25.26331067
DB01395,-8.74,14.53418851
DB08299,-8.74,21.32025099
DB14974,-8.74,35.40358186
DB06393,-8.74,23.73022413
DB17131,-8.74,24.82007957
DB12323,-8.74,25.53817201
DB14017,-8.74,22.99678898
DB16874,-8.73,19.35905242
DB16834,-8.73,19.26733899
DB12897,-8.73,21.32562518
DB17136,-8.73,20.89970517
DB05490,-8.73,27.69795251
DB04739,-8.72,27.56115341
DB11995,-8.72,32.86948371
DB01948,-8.72,23.37177181
DB08750,-8.72,22.64406109
DB06938,-8.72,30.08820271
DB08815,-8.72,33.87428808
DB13060,-8.72,25.57022309
DB04330,-8.71,30.74794793
DB14675,-8.71,29.20034075
DB17506,-8.71,21.06346011
DB13307,-8.71,20.42300081
DB18479,-8.71,29.66857672
DB12960,-8.71,21.62542415
DB11759,-8.71,35.79517937
DB12719,-8.7,20.67760038
DB11363,-8.7,31.69931769
DB15396,-8.7,33.25534582
DB05678,-8.7,25.04828763
DB17171,-8.7,26.97046351
DB08046,-8.7,24.04002929
DB07691,-8.7,23.81119442
DB01289,-8.69,30.6724937
DB16846,-8.69,23.09219074
DB17832,-8.69,21.68545222
DB16766,-8.69,20.50964046
DB11734,-8.69,27.39555931
DB02241,-8.69,24.29431224
DB12381,-8.69,25.03774595
DB14870,-8.69,24.39104533
DB09195,-8.68,25.4929111
DB07020,-8.68,21.63676119
DB18152,-8.68,24.66837263
DB12892,-8.68,28.55426812
DB08995,-8.68,36.26466393
DB18115,-8.67,28.79400873
DB12703,-8.67,23.8511498
DB09074,-8.67,32.38917327
DB01705,-8.67,18.34921217
DB08051,-8.66,20.71638083
DB12658,-8.66,19.96506071
DB07666,-8.66,25.07698178
DB12042,-8.66,34.95788646
DB08268,-8.66,17.73716259
DB12760,-8.64,26.32599282
DB11769,-8.64,26.19853115
DB11870,-8.64,20.67371631
DB04698,-8.64,21.06691599
DB15401,-8.64,38.95661092
DB15187,-8.63,33.43822217
DB08731,-8.63,19.896523
DB01100,-8.63,60.52544904
DB05075,-8.63,26.7636323
DB16221,-8.62,20.91611719
DB16138,-8.62,24.27347207
DB08133,-8.62,20.07864499
DB11701,-8.62,35.65936923
DB15193,-8.62,29.09987307
DB07830,-8.61,20.064358
DB07362,-8.61,36.84012556
DB18070,-8.61,21.77028847
DB06448,-8.61,37.1341362
DB12116,-8.6,33.20858979
DB12297,-8.6,30.91120315
DB12382,-8.6,24.16212392
DB15011,-8.59,35.3348155
DB02877,-8.59,42.25524592
DB01669,-8.59,22.2066071
DB16253,-8.59,20.0306673
DB07507,-8.59,23.54066586
DB14676,-8.58,30.04993963
DB14878,-8.58,26.1731112
DB08213,-8.58,21.00086522
DB07031,-8.58,27.33897924
DB04793,-8.58,21.87061524
DB08674,-8.58,18.87364697
DB11968,-8.58,32.88929582
DB07586,-8.57,28.13366342
DB11450,-8.57,21.37478423
DB12096,-8.57,27.72933173
DB15465,-8.57,27.19741058
DB08331,-8.57,20.48337603
DB15416,-8.57,33.11665559
DB18080,-8.57,21.14614558
DB16120,-8.57,29.78725052
DB11853,-8.56,38.06699252
DB06997,-8.56,22.23652315
DB07041,-8.56,28.0172925
DB08220,-8.56,17.78110099
DB18297,-8.56,27.17059302
DB16218,-8.56,20.97477651
DB01047,-8.56,51.82644224
DB02152,-8.56,21.64759517
DB11971,-8.56,25.62243581
DB05575,-8.56,20.96564054
DB03466,-8.56,39.95239449
DB03038,-8.56,52.30775356
DB08905,-8.54,20.37430334
DB05129,-8.54,31.05857611
DB08896,-8.54,31.94426656
DB13113,-8.54,21.18354225
DB18300,-8.54,28.48697305
DB01451,-8.54,13.74106717
DB07549,-8.54,34.3930552
DB08520,-8.54,15.72776985
DB17149,-8.54,23.74288702
DB16038,-8.54,30.31134176
DB08044,-8.54,21.88352871
DB07181,-8.53,25.51038671
DB12764,-8.53,20.33904648
DB07796,-8.53,22.53547549
DB02102,-8.53,35.48126483
DB09143,-8.53,31.88509989
DB11618,-8.53,41.32362866
DB16347,-8.53,25.41273046
DB12221,-8.53,14.38894558
DB15777,-8.52,29.51889229
DB17033,-8.52,19.46361446
DB06532,-8.52,26.70117807
DB12225,-8.52,32.03752947
DB04608,-8.52,18.60754776
DB05454,-8.52,21.93511844
DB13053,-8.52,20.53361177
DB14703,-8.52,41.60711122
DB12011,-8.51,31.05888176
DB13095,-8.51,31.3182404
DB12571,-8.51,21.29859185
DB18012,-8.51,25.19589734
DB16053,-8.51,26.80054617
DB14792,-8.51,35.14591503
DB08204,-8.51,19.63772464
DB07729,-8.51,18.95542669
DB12222,-8.51,23.71917558
DB07081,-8.51,30.26218367
DB07072,-8.51,30.45952582
DB12504,-8.5,21.4914515
DB02197,-8.5,25.89553881
DB15108,-8.5,38.40255666
DB16308,-8.5,19.12600875
DB18478,-8.5,30.33814096
DB06666,-8.5,33.45295978
DB11907,-8.5,36.08659339
DB07337,-8.5,25.76430249
DB15393,-8.5,25.56583738
DB17758,-8.49,22.75207043
DB03300,-8.49,84.00120354
DB06350,-8.49,35.95031142
DB04301,-8.49,20.55425954
DB01267,-8.49,33.84430313
DB15047,-8.49,30.37648153
DB12044,-8.48,47.07228208
DB07159,-8.48,24.32955909
DB04140,-8.48,27.17473459
DB08043,-8.48,20.37676573
DB00673,-8.48,65.09733939
DB00266,-8.48,45.6781652
DB17049,-8.48,17.20216584
DB17570,-8.48,25.17236567
DB15023,-8.48,31.20856643
DB12784,-8.47,21.86441708
DB06364,-8.47,35.56775689
DB04392,-8.47,17.08920383
DB08746,-8.47,22.71748877
DB11962,-8.47,24.79224324
DB13109,-8.47,24.22436142
DB07608,-8.47,29.54839373
DB15588,-8.47,24.66640663
DB18146,-8.47,19.7048111
DB14176,-8.47,21.85326362
DB06777,-8.47,22.75248694
DB12306,-8.47,19.45030141
DB01933,-8.47,22.31859612
DB12999,-8.47,22.49675846
DB12369,-8.47,22.08038855
DB12001,-8.47,28.59649467
DB14822,-8.46,27.60151935
DB11814,-8.46,31.38294673
DB12467,-8.46,16.23823857
DB17018,-8.46,20.17725348
DB11855,-8.46,26.134269
DB15638,-8.46,35.01968288
DB12910,-8.46,20.3958528
DB07728,-8.44,19.15579271
DB07252,-8.44,35.1055305
DB06976,-8.44,26.65871191
DB18063,-8.44,22.17813158
DB15566,-8.44,30.48292208
DB01199,-8.44,46.77643704
DB15345,-8.44,32.46748543
DB07307,-8.44,23.93193245
DB03383,-8.43,50.78849792
DB06486,-8.43,30.56718326
DB03632,-8.43,63.7402966
DB12729,-8.43,25.6626482
DB08037,-8.43,22.39922738
DB12774,-8.43,19.69700503
DB06817,-8.43,38.06525469
DB13756,-8.43,29.71627903
DB17383,-8.43,21.1777935
DB16637,-8.42,25.68878675
DB12307,-8.42,23.76302934
DB12198,-8.42,31.7632544
DB06852,-8.42,27.28128099
DB03957,-8.42,25.26748419
DB02705,-8.42,47.23859382
DB01167,-8.42,75.6293242
DB09076,-8.42,34.43463039
DB02741,-8.42,45.68721223
DB16249,-8.42,21.52608442
DB08739,-8.41,19.89444399
DB06925,-8.41,27.917274
DB07419,-8.41,34.48511672
DB04190,-8.41,30.15204763
DB15295,-8.41,28.72332001
DB16294,-8.41,26.68005252
DB18306,-8.41,28.95783067
DB07545,-8.41,34.6543467
DB06420,-8.41,28.35240245
DB04154,-8.41,19.86322236
DB09534,-8.41,36.52669263
DB14850,-8.41,35.29941726
DB17057,-8.4,24.78508878
DB01177,-8.4,51.67628884
DB02118,-8.4,18.51509905
DB12742,-8.4,21.72648954
DB14896,-8.4,24.35341358
DB14662,-8.4,23.57497144
DB08058,-8.4,26.20082831
DB04289,-8.4,20.77235007
